fullName,age,gender,phone,address,registeredDate,email
Rajesh,35,Male,9123446780,Bangalore,07/21/2025,rajesh123@gmail.com
Sneha,22,Female,9988777755,Pune,07/21/2025,sneha.k@gmail.com
Pooja R,30,Female,9876543210,Mumbai,07/22/2025,pooja.rani@gmail.com
Ranjini,30,Female,9876543211,Mumbai,07/22/2025,ranjini@gmail.com
Anjali Rao,28,Female,9988776655,Bangalore,08/05/2025,anjali@gmail.com
Manoj Verma,45,Male,9874543210,Mumbai,08/05/2025,manojv@gmail.com
Sahana,23,Female,9685432456,Karkala,08/05/2025,sahana@gmail.com
Rajesh Kumar,45,Male,9876523210,Bangalore,08/01/2025,rajesh.kumar@gmail.com
Sneha Reddy,32,Female,9876550000,Hyderabad,08/01/2025,sneha.reddy@gmail.com
John Paul,29,Male,9876596999,Chennai,08/01/2025,john.paul@gmail.com
